,min_dist_to_hydrant
F18011773,49.53504042500259
F18011752,19.66652968868351
F18011702,167.34467338441644
F18011686,63.22488223697895
F18012304,112.4815045512942
F18011583,41.56946516559309
F18012469,28.771413710872316
F18059174,22.913664306063772
F18011990,30.02901914506455
F18011948,11.882746713713741
F18013793,17.521359281997572
F18013852,21.8842091289677
F18013899,54.2772380094013
F18014057,28.597341345168925
F18014304,58.08226517242202
F18013920,45.49399929065397
F18013972,16.967402029060146
F18029858,16.491964529351545
F18029867,9.876069235504971
F18029884,13.352378800827275
F18029898,24.593379100841215
F18029902,31.72396724158819
F18029915,66.6607719746272
F18029977,8.786281395118998
F18030005,48.737135190174094
F18030014,30.736196901540467
F18030021,39.535006087503014
F18030162,24.220335879067097
F18030428,15.482095276376876
F18030039,26.617681784078826
F18022069,26.04721382836869
F18022125,221.9883465833869
F18022134,13.575438426495584
F18022195,25.952864274990688
F18022207,16.905556355357923
F18022271,9.876069235504971
F18022358,116.21151575682725
F18022420,20.98010821531821
F18022456,16.749880503964928
F18022518,19.454908712502277
F18022929,26.562801518988135
F18023002,6.779664523820529
F18023051,44.088182636131855
F18022506,14.427915863442111
F18027148,33.72044135898361
F18027171,46.21989751866854
F18027181,24.021709287883766
F18027243,25.951842299967787
F18027249,226.6323064354407
F18027257,50.76649040464731
F18027305,48.43266657982691
F18027349,33.05532086942146
F18027496,21.309154770233828
F18027517,35.31745990164177
F18027572,20.938388780988465
F18030897,30.634145114277906
F18028797,15.310900770082755
F18028825,16.491964529351545
F18028828,15.780214261364565
F18028830,19.99220129363971
F18028878,21.53088898346939
F18028910,20.9728532071814
F18028971,18.965773330796583
F18029128,18.037667560708215
F18029179,43.75341272909756
F18029222,24.259373693873954
F18046856,36.50378695501298
F18012478,20.339960038351744
F18012582,35.17283951895443
F18012691,13.575438426495584
F18012929,6.092368009847843
F18012945,17.711022601489134
F18012960,19.374259998419763
F18011542,14.773175264478088
F18011359,46.73782210242078
F18011246,19.919397675562156
F18011240,27.736321130524285
F18014013,18.013639856355173
F18014069,25.687991041759226
F18014110,27.05458970262038
F18014224,12.788318666717029
F18014226,25.297250191093756
F18014279,17.625955144754702
F18014295,18.08268761409149
F18014388,21.526694870075893
F18014443,24.024329412895028
F18014474,50.971211005491384
F18014671,24.537341409053354
F18014733,12.008162625976082
F18060095,23.90035086913194
F18067652,7.512537874303148
F18067669,48.25140370323984
F18006989,42.33925577747996
F18000112,226.6323064354407
F18001526,16.491964529351545
F18003914,16.983987276287277
F18003932,12.164739517576717
F18006781,32.79311156155032
F18006319,36.52005349831405
F18020382,24.614249205284306
F18020388,40.5938239090006
F18020398,54.22209493309422
F18020407,54.62931699064118
F18030063,22.376631861385192
F18030079,26.12029304966665
F18030105,44.81156843808656
F18030161,11.319036260437565
F18030180,27.990376700161043
F18030206,20.683023072349368
F18030222,12.996968452120408
F18030255,18.79408325432055
F18030256,22.23209267430413
F18030264,12.083026258859334
F18030296,23.908173009982793
F18030473,30.65089857229258
F18030494,27.99784819476838
F18030531,19.90676336649528
F18030552,321.7987987762716
F18030570,843.8003854994091
F18008089,32.374912100443076
F18009365,30.703578697054848
F18010021,46.798834574424355
F18005026,49.067147087660636
F18008149,17.877024439215084
F18009727,26.48981116791533
F18009875,45.38403503886094
F18078192,20.558950451170784
F18089221,12.228331287451018
F18089224,57.10776653277106
F18002572,16.95750242139236
F18002668,40.592724732138244
F18002700,40.592724732138244
F18003074,20.791485134574224
F18003169,29.14015352362107
F18003171,14.089930865521108
F18003208,36.29932288499532
F18118614,24.451668817324286
F18134219,12.996968452120408
F18016421,49.45318810297478
F18016442,30.37334503408099
F18016471,57.282324197557344
F18016510,51.429331745003815
F18016562,25.903539793652165
F18016599,22.202559147562333
F18016617,44.17380780131776
F18016628,42.2965332690113
F18017244,19.99504254984283
F19041628,19.076624202934095
F19055773,25.185107995302985
F19055237,53.0716833540731
F18020298,16.3263616581071
F18020352,65.76012172814053
F18020372,18.729795318966254
F18023841,24.71493741519525
F18023878,24.00401289141781
F18023890,15.460467218729569
F18023918,16.868996358057053
F18023955,8.702624311961245
F18023958,14.494149705025102
F18023965,27.875721756902546
F18023976,23.500053401162774
F18024059,12.86959208780084
F19059967,21.199305749243777
F18025395,59.43673947237203
F18025455,52.657667300013244
F18025526,39.137200350312746
F18025529,39.62093700579863
F18025581,21.524409893172017
F18025609,221.42137635242284
F18025615,40.84982202631101
F18025649,16.148268429042336
F18025776,43.7527180007903
F18025914,15.117804843590955
F18025850,17.23444129416868
F18025851,30.65089857229258
F18033771,30.076982992699264
F18033795,16.237041307735442
F18034399,30.297249616721455
F18033847,57.322294916665705
F18033895,49.535634698680745
F18034053,37.753712157216505
F18034057,38.30685612296011
F18034246,48.737135190174094
F18034310,13.962259779423233
F18034346,9.876069235504971
F18034367,18.415386562384867
F18035364,60.7169735168928
F18035395,32.942268402418414
F18035398,28.03789511151045
F18035417,21.893470412330682
F18035499,33.173025376140075
F18035543,15.380773047358934
F18035545,34.85979150575733
F18035580,17.777658834555336
F18035620,17.151308966443317
F18035665,18.521758172406113
F18035687,16.609079464674338
F18035708,34.461778098096445
F18035730,16.3863905203086
F18037092,17.45875646949545
F18037107,19.215698639334427
F18037183,41.60248568511516
F18037197,33.59378677158755
F18037245,19.177945624569606
F18037334,16.168263259863586
F18037430,33.56856200401406
F18037443,44.15868516166499
F18037462,28.847348557154657
F18040166,17.04716207224272
F18040592,21.238300436636898
F18040686,14.871326263816504
F18040135,31.104157450582747
F18040229,15.59421205783539
F18040297,26.915062382027518
F18040302,114.96573600026215
F18040305,21.214162413423605
F18040335,38.479570812598325
F18040337,27.359084508474165
F18040340,49.36431317816559
F18040341,16.74111760444803
F18040436,19.970604620991132
F18040456,17.625955144754702
F18040461,19.374259998419763
F18041782,71.05219588055401
F18041823,38.2511661761448
F18041825,35.24599996484373
F18041826,42.00165536008351
F18041831,62.095232720867074
F18041840,32.26759067435655
F18041865,49.88394137222339
F18041901,13.511445745978342
F18041943,13.948441328751498
F18041987,31.625823499217198
F18042003,33.017973524296394
F18043057,21.841495861596055
F18043154,14.914256348822827
F18043196,13.823941439400516
F18043207,42.33115496151557
F18043391,14.627514741666428
F18043463,31.093116798786916
F18043438,23.061267149070936
F18043444,16.491964529351545
F18043475,49.58410604096729
F18043528,15.835980828102386
F18044305,19.155274250616397
F18044310,33.19710167256712
F18044323,33.02733773069003
F18044401,20.072147092458177
