,Incident_Numberinc_,t0,t1,t2,t3,t4
238,F14017924,0.025058426,0.025004908,0.42457324,0.025216538,0.5001469
239,F13036434,0.018183136,0.018183142,0.01819691,0.9272007,0.018236108
240,F15033834,0.012504057,0.012516614,0.012526728,0.6491342,0.31331837
241,F19008186,0.44118163,0.025044646,0.025132151,0.48324746,0.025394151
242,F11024128,0.028785976,0.028586404,0.02863437,0.546512,0.36748123
243,F17116904,0.040010273,0.83993274,0.040053688,0.040002584,0.040000703
244,F17086880,0.7333296,0.06666896,0.06666668,0.066667385,0.066667326
245,F11149302,0.42580277,0.19977748,0.33434045,0.020078579,0.020000692
246,F13028717,0.050015062,0.7999101,0.050016485,0.050002582,0.050055735
247,F19029366,0.05001758,0.7999224,0.05005447,0.050004408,0.050001178
248,F12067108,0.028575743,0.74603796,0.16822316,0.028572781,0.028590363
249,F12066343,0.40579158,0.16197827,0.028903022,0.37464222,0.028684909
250,F17062445,0.5271035,0.37283334,0.03333787,0.033336047,0.033389326
251,F19024975,0.268006,0.01666948,0.016994078,0.01717773,0.68115276
252,F18027504,0.06667439,0.06666667,0.06674929,0.733243,0.06666668
253,F18033895,0.10007264,0.5994949,0.100030564,0.10001173,0.10039015
254,F18098942,0.70325786,0.033333495,0.03338358,0.19669169,0.033333343
255,F18071847,0.033626456,0.033338506,0.033530574,0.033550013,0.86595446
256,F18076722,0.70325947,0.0333335,0.033383843,0.19668984,0.033333346
257,F18052116,0.06667438,0.06666667,0.066749156,0.7332431,0.06666667
258,F13001666,0.03376549,0.03339521,0.03463455,0.0336223,0.8645825
259,F16067419,0.06709351,0.06672126,0.06670842,0.066742234,0.7327346
260,F11159428,0.016752578,0.01672299,0.016794404,0.64912814,0.30060187
261,F15111676,0.028732494,0.028638817,0.02868191,0.028677134,0.88526964
262,F18081758,0.015448155,0.015387989,0.48990285,0.4638567,0.015404294
263,F14001563,0.03333811,0.8666459,0.033346765,0.033335183,0.033334028
264,F12041532,0.0404026,0.0400028,0.83817214,0.040291682,0.04113079
265,F18047296,0.033337217,0.033400793,0.033377666,0.8665495,0.033334818
266,F13042101,0.4283648,0.028573807,0.028734725,0.028727192,0.4855995
267,F12044030,0.028650697,0.02857186,0.029234137,0.02865215,0.88489115
268,F19032764,0.012561263,0.012682343,0.9494691,0.012580959,0.012706344
269,F17026280,0.04000011,0.04000961,0.04002133,0.041128293,0.83884066
270,F14086875,0.7074594,0.19250661,0.03336391,0.03333551,0.033334594
271,F11095234,0.040015213,0.83987176,0.040003024,0.04000475,0.040105227
272,F18026772,0.028575512,0.8856752,0.028572615,0.028573558,0.028603105
273,F17050198,0.018183136,0.018183142,0.01819691,0.92720085,0.018235983
274,F19033554,0.50958586,0.2418825,0.19684856,0.026280573,0.02540255
275,F11152793,0.03428305,0.03350662,0.033521,0.034171052,0.8645182
276,F19051496,0.7032574,0.033333495,0.033383597,0.19669217,0.033333343
277,F13056863,0.23088202,0.020000469,0.020041576,0.7090585,0.020017367
278,F15091647,0.76219755,0.15195188,0.028587654,0.028576097,0.02868679
279,F11069386,0.016723294,0.016667092,0.9329559,0.016719494,0.01693421
280,F17113070,0.10147242,0.100009605,0.10100133,0.100972176,0.59654444
281,F18077108,0.2,0.2,0.2,0.2,0.2
282,F15021845,0.028947128,0.8842427,0.029061738,0.028720794,0.029027592
283,F12034489,0.010003266,0.010029017,0.29425064,0.46704802,0.21866909
284,F13006488,0.70974964,0.02000245,0.020101938,0.020095816,0.23005016
285,F14101072,0.04040228,0.040002756,0.8381888,0.040273353,0.041132785
286,F12071979,0.8856221,0.028598778,0.028597735,0.028582318,0.028599054
287,F19046331,0.88427943,0.028590538,0.028768139,0.028834773,0.029527089
288,F19065907,0.61787087,0.29537734,0.029102191,0.028767468,0.028882077
289,F14000652,0.018227652,0.018719302,0.7252389,0.018216597,0.21959753
290,F14108800,0.1538302,0.040333398,0.040391274,0.72507846,0.040366672
291,F16060484,0.8851808,0.02857456,0.028662384,0.028659698,0.028922586
292,F15092962,0.797959,0.050004415,0.050339106,0.05032993,0.051367544
293,F14049306,0.5994117,0.10039574,0.10000984,0.10000688,0.10017585
294,F17035051,0.028987352,0.7428182,0.02885376,0.028844746,0.17049597
295,F13027986,0.018195191,0.018387105,0.018209571,0.018433025,0.92677504
296,F14069294,0.02862202,0.028577935,0.028611518,0.028729798,0.8854587
297,F17070310,0.033439536,0.035562698,0.033402096,0.03356147,0.8640342
298,F18053436,0.06780862,0.06729968,0.067025386,0.06704405,0.73082227
299,F19013722,0.70325905,0.033333495,0.03338382,0.19669025,0.033333343
300,F19011085,0.88490266,0.02858307,0.02867291,0.028740808,0.029100545
301,F18026978,0.022448024,0.022250006,0.02226323,0.76402277,0.16901597
302,F18044759,0.8989381,0.025009349,0.025145043,0.025194818,0.025712641
303,F17054609,0.2,0.2,0.2,0.2,0.2
304,F12117621,0.8856221,0.028598782,0.028597739,0.028582318,0.02859906
305,F17131696,0.06667534,0.7332223,0.066766225,0.066668324,0.066667795
306,F12094244,0.022222897,0.91098946,0.022311073,0.022252133,0.02222449
307,F15085214,0.21979101,0.23033793,0.020031698,0.020468378,0.509371
308,F11159939,0.24362339,0.011336958,0.6067186,0.011139406,0.12718168
309,F12023208,0.70973337,0.02000245,0.020101935,0.020095814,0.23006642
310,F19056689,0.7032596,0.0333335,0.033383805,0.19668975,0.033333346
311,F16030428,0.7992467,0.13408035,0.022226814,0.022223044,0.022222979
312,F18013656,0.022426339,0.02288089,0.9093211,0.02242572,0.022945873
313,F15110443,0.014326452,0.014521704,0.9424266,0.014322116,0.014403135
314,F16059574,0.053297047,0.18964204,0.050504874,0.050203644,0.6563524
315,F18033224,0.028575791,0.028571492,0.7861202,0.128133,0.028599529
316,F19031346,0.02857579,0.02857149,0.78611696,0.12813626,0.028599527
317,F11098168,0.56043947,0.23952195,0.02234182,0.022243518,0.15545318
318,F16057418,0.79797107,0.050004408,0.050339065,0.05032989,0.0513555
319,F17017451,0.7324541,0.06698394,0.066873536,0.06675241,0.066935994
320,F18117996,0.015465822,0.015387789,0.015497338,0.9379747,0.015674362
321,F13043512,0.033739362,0.033369444,0.6140475,0.033509653,0.28533405
322,F17003439,0.5974848,0.10070541,0.10073325,0.10029319,0.10078331
323,F18128341,0.10001332,0.10000001,0.10014147,0.59984523,0.10000002
324,F18125810,0.10001333,0.10000002,0.10014269,0.599844,0.100000024
325,F16095724,0.0400107,0.83991826,0.04003706,0.04000187,0.04003212
326,F15058008,0.69958663,0.20041114,0.03333432,0.03333373,0.033334155
327,F15116665,0.8851806,0.028574564,0.028662387,0.028659703,0.028922783
328,F18075532,0.033337217,0.033400815,0.03337768,0.8665495,0.033334818
329,F18046516,0.02243615,0.1381284,0.37729806,0.33535326,0.12678419
330,F11155855,0.10002989,0.5998776,0.10008308,0.10000569,0.10000372
331,F13031429,0.040024236,0.040009663,0.8399352,0.04002828,0.040002648
332,F13008104,0.10000107,0.5999638,0.10000446,0.100029744,0.100000955
333,F12119364,0.018186046,0.018183496,0.92723525,0.018198373,0.018196842
334,F14045621,0.04007033,0.6326374,0.24723928,0.040006332,0.04004673
335,F13021548,0.8851863,0.02857456,0.028662378,0.028659692,0.028917044
336,F19064325,0.040013127,0.8399294,0.04002263,0.040002324,0.04003249
337,F12074364,0.018183138,0.018183144,0.018196912,0.9272003,0.018236477
338,F18088607,0.06667439,0.06666667,0.06675152,0.7332408,0.06666668
339,F11026705,0.100029886,0.59987783,0.10008292,0.10000569,0.10000373
340,F18028825,0.06667439,0.06666668,0.0667508,0.73324144,0.066666685
341,F17094575,0.06668398,0.7332626,0.06671465,0.06666996,0.066668816
